,archive_dict,category_dict,click_num,comments_num,creation_num,description,fan_num,like_num,rank,score,url
1339,"[{'2018年11月': '31篇', '2018年10月': '33篇', '2018年9月': '41篇', '2018年8月': '39篇', '2018年7月': '59篇', '2018年6月': '58篇', '2018年5月': '74篇', '2018年4月': '47篇', '2018年3月': '11篇', '2018年2月': '23篇', '2018年1月': '46篇', '2017年12月': '43篇', '2017年11月': '13篇', '2017年10月': '15篇', '2017年9月': '21篇', '2017年8月': '83篇', '2017年7月': '61篇', '2017年6月': '59篇', '2017年5月': '2篇', '2017年4月': '12篇', '2017年3月': '2篇', '2017年2月': '9篇', '2017年1月': '7篇', '2016年12月': '12篇', '2016年11月': '34篇', '2015年4月': '1篇', '2014年12月': '1篇', '2014年10月': '1篇', '2014年9月': '1篇', '2014年8月': '19篇', '2013年11月': '1篇', '2013年10月': '1篇', '2013年8月': '1篇', '2013年7月': '4篇', '2013年6月': '3篇', '2012年5月': '3篇'}]","[{'python': '334篇', 'Django': '12篇', 'C#': '4篇', 'windows': '1篇', 'vb': '1篇', 'sql': '17篇', 'html': '3篇', 'css': '3篇', 'else': '21篇', 'jekyll': '1篇', 'javascript': '14篇', 'scrapy': '30篇', 'mac': '10篇', 'java': '6篇', 'error': '18篇', 'git': '4篇', '机器学习': '3篇', 'echarts': '1篇', 'mysql': '8篇', 'go': '4篇', 'nginx': '4篇', 'shell': '2篇', 'php': '9篇', 'symfony': '1篇', 'react': '1篇', 'redis': '1篇', 'linux': '6篇', 'docker': '1篇', 'splash': '2篇', 'flask': '2篇', 'web.py': '1篇', 'tornado': '1篇', 'mogon': '1篇', 'chrome': '2篇', 'crawler': '1篇', 'selenium': '1篇', 'C语言': '1篇', 'nodejs': '1篇', 'hadoop': '1篇'}]",['20万+'],['71'],['871'],['记录我的code历程  个人主页：www.pengshiyu.com'],['69'],['32'],['5425'],['6576'],https://blog.csdn.net/mouday/
1340,"[{'2018年11月': '4篇', '2018年10月': '3篇', '2018年9月': '2篇', '2018年8月': '3篇', '2018年7月': '4篇', '2018年6月': '5篇', '2018年5月': '3篇', '2018年4月': '8篇', '2018年3月': '11篇', '2017年12月': '4篇', '2017年11月': '6篇', '2017年10月': '7篇', '2017年9月': '11篇', '2017年7月': '1篇', '2016年12月': '2篇', '2016年10月': '2篇', '2016年9月': '1篇'}]","[{'SpringMVC': '9篇', 'myeclipse主': '2篇', '设计模式': '1篇', '面试': '1篇', '工作中Oracle': '1篇', 'svn': '1篇', 'ETL': '3篇', '开发软件': '10篇', '代码': '13篇', 'hadoop': '13篇', 'linux': '2篇', '异常': '3篇', 'mysql': '1篇', '爬虫': '1篇', '工作中的问题': '9篇'}]",['4万+'],['14'],['42'],[''],['2'],['5'],['6万+'],['956'],https://blog.csdn.net/sinat_32867867/
1341,"[{'2018年9月': '1篇', '2018年8月': '1篇', '2018年7月': '2篇', '2018年6月': '22篇', '2018年5月': '2篇'}]","[{'机器学习': '8篇', '爬虫': '4篇', 'django': '2篇', 'python基础': '4篇', 'python面试题': '2篇', '测试': '1篇', 'fusionstorage': '2篇'}]",['4万+'],['3'],['27'],[''],['16'],"['27', '17']",['8万+'],['697'],https://blog.csdn.net/caoyu1221/
1342,"[{'2018年11月': '11篇', '2018年10月': '24篇', '2018年9月': '18篇', '2018年8月': '87篇', '2018年7月': '147篇', '2018年6月': '37篇', '2018年5月': '11篇'}]","[{'python之numpy': '25篇', 'python基础': '64篇', '自然语言': '9篇', 'Git使用总结': '5篇', 'django': '23篇', 'MongoDB': '1篇', 'MySQL': '47篇', 'Flask': '2篇', 'Linux': '8篇', 'Cython': '1篇', 'Leetcode': '11篇', 'C/C++': '22篇', 'JSP': '13篇', 'AI': '1篇', 'python金融量化': '5篇', 'django错误': '7篇', '机器学习': '4篇', 'jquery': '1篇', '数据结构': '19篇', '前端': '2篇', 'Kafka': '1篇', 'Redis': '2篇', 'Nginx': '1篇', '计算机网络': '1篇', '大数据': '25篇', 'Go': '31篇', 'python爬虫': '4篇', 'Sublime Text 3': '1篇', '日志处理平台工具': '4篇', '信息安全': '1篇', '工具': '1篇'}]",['4万+'],['8'],['221'],['学习的一些记录，方便自己后期查索'],['36'],['5'],['1万+'],['2757'],https://blog.csdn.net/weixin_37887248/
1343,"[{'2018年10月': '3篇', '2018年9月': '1篇', '2018年8月': '1篇', '2018年7月': '1篇', '2018年6月': '1篇', '2018年4月': '1篇', '2018年3月': '1篇', '2017年12月': '5篇', '2017年10月': '3篇', '2017年9月': '9篇', '2017年8月': '4篇', '2017年7月': '2篇', '2017年6月': '1篇', '2017年5月': '1篇', '2017年4月': '5篇', '2017年3月': '3篇', '2017年1月': '8篇', '2016年12月': '4篇', '2016年11月': '3篇', '2016年10月': '1篇', '2016年9月': '3篇', '2016年8月': '4篇', '2016年7月': '5篇', '2016年6月': '5篇', '2016年5月': '5篇', '2016年4月': '7篇', '2016年3月': '3篇', '2016年2月': '8篇', '2016年1月': '4篇', '2015年12月': '8篇', '2015年11月': '7篇', '2015年10月': '7篇', '2015年9月': '15篇', '2015年8月': '3篇', '2015年7月': '6篇', '2015年6月': '2篇', '2015年5月': '3篇', '2015年4月': '12篇', '2015年3月': '16篇', '2015年2月': '3篇', '2014年11月': '1篇', '2007年5月': '2篇'}]","[{'移动开发': '6篇', '数据库': '42篇', '开发工具': '41篇', '敏捷开发': '8篇', '网站开发': '11篇', 'linux': '7篇', '系统运维': '77篇', '架构设计': '12篇'}]",['51万+'],['3'],['177'],['纯粹技术'],['14'],['5'],['5185'],['6745'],https://blog.csdn.net/cashcat2004/
1344,"[{'2018年11月': '3篇', '2018年10月': '3篇', '2018年9月': '11篇', '2018年8月': '1篇', '2018年6月': '2篇', '2018年5月': '9篇', '2018年4月': '8篇', '2018年3月': '23篇', '2018年2月': '8篇', '2018年1月': '5篇', '2017年12月': '16篇', '2017年11月': '24篇', '2017年10月': '35篇', '2017年9月': '64篇', '2017年8月': '94篇', '2017年7月': '71篇'}]","[{'linux基础': '15篇', 'python基础教程': '97篇', 'python初级教程': '50篇', 'python网络编辑教程': '18篇', 'python总结篇': '2篇', '经典小项目代码': '16篇', 'python经典100例': '4篇', 'python转载': '4篇', 'python面试题': '13篇', 'html—css教程': '17篇', 'PS基本知识': '2篇', 'html-css练习题': '8篇', 'JavaScript教程': '13篇', 'Jquery教程': '10篇', '常见面试题': '14篇', '数据库MYSQL教程': '27篇', '数据库MongoDB教程': '11篇', '数据库Redis教程': '9篇', 'Django框架': '27篇', '爬虫教程': '15篇', '数据结构与算法': '11篇', 'Flask框架': '10篇', '代码王者荣耀版': '3篇', 'LintCode': '1篇', '数据分析': '8篇', '机器学习': '21篇', '微信小程序': '11篇'}]",['31万+'],['27'],['354'],['九层之台起于python，人工智能引领时代潮流'],['322'],['177'],['5309'],['6662'],https://blog.csdn.net/xun527/
1345,"[{'2018年10月': '1篇', '2018年9月': '13篇'}]","[{'Linux': '2篇', '机器学习': '11篇', '人工智能': '10篇', 'python': '1篇'}]",['690'],['0'],['14'],[''],['0'],['0'],['118万+'],['142'],https://blog.csdn.net/weixin_41012049/
1346,"[{'2018年6月': '1篇', '2018年1月': '1篇', '2017年11月': '1篇', '2017年10月': '2篇', '2017年8月': '2篇', '2016年9月': '6篇', '2016年5月': '1篇', '2014年8月': '2篇', '2014年7月': '1篇', '2013年10月': '4篇', '2013年9月': '1篇', '2013年8月': '2篇', '2013年6月': '13篇', '2013年5月': '38篇', '2006年5月': '1篇', '2006年2月': '1篇'}]","[{'oracle 基础': '22篇', 'RAC': '6篇', 'performance tunning': '5篇', 'troube shooting': '18篇', 'BIG DATA': '1篇', 'Linux/unix': '7篇', 'life': '2篇', '数据挖掘': '3篇', '机器学习': '6篇', 'R与Python': '2篇', 'l': '1篇'}]",['6万+'],['1'],['54'],['枫树林'],['4'],['3'],['5万+'],['1167'],https://blog.csdn.net/yobyin/
1347,"[{'2018年6月': '3篇', '2018年5月': '10篇'}]",['null'],['1806'],['1'],['7'],[''],['0'],['1'],['147万+'],['96'],https://blog.csdn.net/qq_35592723/
1348,"[{'2018年11月': '2篇', '2018年10月': '1篇'}]","[{'大数据': '1篇', '机器学习': '1篇'}]",['45'],['0'],['3'],[''],['0'],['0'],['210万+'],['30'],https://blog.csdn.net/weixin_40453404/
1349,"[{'2018年3月': '2篇', '2018年2月': '4篇', '2018年1月': '5篇', '2017年9月': '4篇', '2017年8月': '5篇', '2017年7月': '1篇', '2016年9月': '2篇'}]","[{'java': '1篇', 'python': '1篇', 'NLP': '2篇', 'Machine Translation': '7篇', 'deeplearning': '3篇', 'Linux': '2篇', 'theano': '4篇', 'Machine Learning': '1篇', 'c/c++': '1篇', 'git': '1篇'}]",['6373'],['1'],['18'],[''],['5'],['2'],['32万+'],['268'],https://blog.csdn.net/abc13310086/
1350,"[{'2018年9月': '2篇', '2018年7月': '4篇', '2018年6月': '1篇', '2018年5月': '2篇', '2018年4月': '2篇', '2018年3月': '4篇', '2018年2月': '1篇', '2018年1月': '4篇', '2017年12月': '1篇', '2017年11月': '6篇', '2017年10月': '3篇', '2017年9月': '6篇', '2017年8月': '12篇', '2017年7月': '9篇', '2017年6月': '11篇'}]","[{'Python': '16篇', 'TensorFlow | Keras': '15篇', 'Machine Learning': '15篇', 'Deep Learning': '9篇', '数据结构与算法': '11篇', 'Linux': '3篇', 'C++': '2篇', 'NLP': '3篇', 'matlab': '1篇', 'LeetCode': '6篇'}]",['17万+'],['56'],['68'],['You are in the picture'],['32'],['19'],['2万+'],['2038'],https://blog.csdn.net/index20001/
1351,"[{'2018年6月': '10篇', '2018年5月': '9篇', '2018年4月': '1篇', '2017年9月': '1篇'}]","[{'python': '2篇', '爬虫': '1篇', '统计学': '1篇', '机器学习基础算法': '18篇', '异常的解决方式': '1篇'}]",['3534'],['0'],['21'],[''],['3'],['2'],['36万+'],['227'],https://blog.csdn.net/yokan_de_s/
1352,"[{'2018年10月': '2篇', '2018年7月': '3篇', '2018年4月': '3篇', '2018年3月': '1篇', '2018年2月': '4篇', '2018年1月': '16篇', '2017年12月': '8篇', '2017年11月': '13篇', '2017年10月': '5篇', '2017年9月': '4篇', '2017年8月': '8篇', '2017年7月': '1篇', '2017年6月': '3篇', '2017年5月': '6篇', '2017年4月': '10篇', '2017年3月': '3篇', '2017年2月': '12篇', '2017年1月': '1篇', '2016年12月': '1篇'}]","[{'AR+VR': '4篇', 'blender': '5篇', 'node.js': '16篇', 'math modeling': '15篇', 'Html+Css+Vue.js+Jquery': '13篇', 'algorithms': '18篇', 'embedded': '12篇', 'database': '2篇', 'c/c++': '4篇', 'software testing': '1篇', 'machine learning': '1篇', 'Git': '3篇', 'java/android': '5篇', 'programmer life': '2篇', 'data fitting': '1篇'}]",['6万+'],['25'],['102'],['当时光久远，初心始现'],['13'],['7'],['3万+'],['1669'],https://blog.csdn.net/drunkpragrammer/
1353,"[{'2016年10月': '2篇', '2016年9月': '1篇'}]",[{'机器学习': '3篇'}],['1万+'],['0'],['3'],[''],['18'],['3'],['117万+'],['147'],https://blog.csdn.net/CalCuLuSearch/
1354,"[{'2006年10月': '8篇', '2006年9月': '6篇'}]","[{'心得': '2篇', '资源': '12篇'}]",['1万+'],['1'],['14'],['初学acm编程'],['1'],['0'],['35万+'],['232'],https://blog.csdn.net/huanxing/
1355,[{'2016年3月': '1篇'}],[{'机器学习': '1篇'}],['373'],['0'],[],[''],['0'],['0'],['275万+'],['5'],https://blog.csdn.net/kevin1993best/
1356,"[{'2018年3月': '1篇', '2017年11月': '1篇', '2017年8月': '1篇', '2017年5月': '1篇', '2017年4月': '4篇', '2016年9月': '2篇', '2016年7月': '2篇', '2016年6月': '2篇', '2016年5月': '2篇', '2016年4月': '8篇', '2016年3月': '27篇', '2016年1月': '2篇', '2015年12月': '8篇', '2015年11月': '7篇', '2015年10月': '23篇', '2015年9月': '1篇', '2015年7月': '5篇', '2015年6月': '7篇', '2015年5月': '3篇', '2015年4月': '10篇', '2015年3月': '2篇', '2015年2月': '1篇', '2015年1月': '4篇', '2014年12月': '5篇', '2014年11月': '2篇', '2014年10月': '5篇', '2014年9月': '8篇', '2014年8月': '4篇', '2014年7月': '2篇', '2014年6月': '1篇', '2014年5月': '12篇', '2014年4月': '8篇', '2014年3月': '2篇', '2014年2月': '2篇', '2014年1月': '2篇', '2013年12月': '1篇', '2013年11月': '6篇', '2013年10月': '4篇', '2013年9月': '5篇', '2013年8月': '9篇', '2013年7月': '8篇', '2013年6月': '4篇', '2013年5月': '2篇', '2013年4月': '3篇', '2013年3月': '5篇', '2013年1月': '2篇', '2012年12月': '3篇', '2012年11月': '1篇', '2012年10月': '1篇', '2012年8月': '3篇', '2012年7月': '8篇', '2012年6月': '1篇', '2012年5月': '3篇', '2012年4月': '4篇', '2011年12月': '1篇', '2011年9月': '4篇', '2011年8月': '6篇', '2011年7月': '4篇', '2011年3月': '1篇'}]","[{'qt': '5篇', 'sqlite应用及源码学习': '4篇', 'webserver': '5篇', 'linux应用及源码学习': '17篇', 'windows': '77篇', '图形视觉UI': '34篇', '编程基础': '105篇', '读经': '1篇', '编程之美': '32篇', 'tcpip': '2篇', '数学': '20篇', 'android应用及源码学习': '17篇', 'ios': '4篇', '安全': '27篇', '工具试用': '15篇', '读书-学习笔记': '10篇', 'tightvnc源码学习': '1篇', 'mac': '4篇', '虚拟机': '2篇', '设计模式': '7篇', '机器学习': '27篇', 'cocos-2dx': '2篇', '服务器开发': '2篇'}]",['110万+'],['175'],['182'],['放松，享受'],['281'],['84'],['2962'],['9322'],https://blog.csdn.net/lonelyrains/
1357,"[{'2017年12月': '1篇', '2017年11月': '1篇'}]",[{'深度学习': '1篇'}],['1428'],['1'],['2'],[''],['2'],['0'],['201万+'],['36'],https://blog.csdn.net/yincuiliang9619/
1358,"[{'2017年12月': '2篇', '2017年11月': '1篇', '2017年9月': '24篇', '2017年8月': '41篇', '2017年7月': '82篇', '2017年6月': '67篇', '2017年5月': '51篇'}]","[{'面试题': '11篇', '网易2017秋招编程题': '10篇', '腾讯编程题': '4篇', '程序员面试笔试宝典': '10篇', '剑指offer': '56篇', '机器学习实战': '13篇', '百度2017春招编程题': '6篇', '网易2017内推笔试编程题合集': '8篇', '二分查找': '9篇', '动态规划': '25篇', '2017网易游戏雷火盘古实习生招聘笔试真题': '1篇', '牛客网模拟笔试': '10篇', '京东2016编程题': '3篇', '赛码网输入输出参考': '1篇', '论文': '3篇', 'C++语法': '5篇', '阿里巴巴面试题': '32篇', '网易面试题': '4篇', '中兴面试题': '2篇', '深信服面试题': '10篇', '数据结构': '6篇', 'Golang学习': '1篇'}]",['9万+'],['8'],['261'],[''],['39'],['15'],['1万+'],['3426'],https://blog.csdn.net/xiaxzhou/
1359,"[{'2017年1月': '2篇', '2016年12月': '7篇'}]","[{'算法导论': '2篇', 'Java学习': '1篇', 'Machine Learning': '4篇', '网页前端技术': '1篇'}]",['5764'],['0'],['5'],[''],['0'],['0'],['127万+'],['114'],https://blog.csdn.net/qq_28087847/
1360,"[{'2018年10月': '1篇', '2017年10月': '3篇', '2017年9月': '3篇', '2017年8月': '1篇', '2017年7月': '1篇', '2017年6月': '2篇', '2017年5月': '10篇', '2017年4月': '2篇', '2017年3月': '13篇', '2017年2月': '4篇', '2017年1月': '2篇', '2016年12月': '4篇', '2016年11月': '2篇', '2016年10月': '4篇', '2016年9月': '1篇', '2016年8月': '2篇', '2016年6月': '1篇', '2016年3月': '1篇', '2015年12月': '1篇', '2015年11月': '5篇'}]","[{'VC应用': '13篇', '机器学习': '11篇', 'matlab': '5篇', '卷积神经网络': '3篇', 'caffe': '9篇', '其他': '8篇', '目标检测': '3篇', 'C/C++': '2篇', 'SVM': '6篇', '书籍论文学习': '8篇', 'ffmpeg': '2篇', '算法': '1篇', '滤波器': '2篇', '游戏': '1篇'}]",['4万+'],['4'],['56'],[''],['12'],['3'],['5万+'],['1028'],https://blog.csdn.net/qq229873466/
1361,"[{'2018年11月': '4篇', '2018年10月': '3篇', '2018年9月': '4篇', '2018年7月': '1篇', '2018年5月': '5篇'}]","[{'机器学习': '12篇', '理论学习': '5篇', '常用软件安装': '3篇', '深度学习': '5篇', 'CNN': '2篇', 'Tensorflow': '5篇', 'Keras': '4篇'}]",['1532'],['0'],['12'],[''],['4'],"['12', '0']",['118万+'],['113'],https://blog.csdn.net/wangyuxi__/
1362,"[{'2018年11月': '5篇', '2018年10月': '17篇', '2018年9月': '47篇', '2018年8月': '3篇', '2018年6月': '1篇'}]","[{'IQt': '5篇', 'C++': '6篇', '网络编程': '3篇', '软件管理': '1篇', 'offer': '4篇', '数据结构': '9篇', '网络通信': '7篇', '分布式': '1篇', '编程调试': '2篇', 'STL': '7篇', '数据库': '6篇', '算法': '2篇', 'Linux': '8篇', '设计模式': '3篇', '机器学习': '7篇', 'qchart': '1篇', '内存泄漏': '1篇', 'matlab': '2篇'}]",['4261'],['3'],['38'],[''],['0'],['1'],['12万+'],['463'],https://blog.csdn.net/fsfsfsdfsdfdr/
1363,[{'2017年6月': '1篇'}],[{'Python机器学习': '1篇'}],['339'],['0'],['1'],[''],['1'],['0'],['238万+'],['13'],https://blog.csdn.net/smhailang/
1364,"[{'2018年11月': '2篇', '2018年10月': '6篇', '2018年9月': '5篇', '2018年3月': '2篇', '2018年2月': '1篇', '2016年11月': '2篇', '2016年10月': '1篇', '2016年9月': '2篇', '2016年8月': '103篇', '2016年7月': '15篇', '2016年4月': '2篇', '2016年3月': '9篇'}]","[{'前端开发': '10篇', 'JS开发': '6篇', '服务器配置': '4篇', 'CSS定位': '4篇', '各种模式': '1篇', 'php开发': '6篇', 'android': '1篇', '后端框架': '3篇', '算法': '113篇', 'LeetCode': '101篇', '数组': '6篇', '链表': '13篇', '王道': '3篇', '线性表': '1篇', '字符串': '9篇', '动态规划': '23篇', '线性DP': '6篇', 'HDU': '1篇', '二叉树': '28篇', '数学': '3篇', '排序': '6篇', '查找': '3篇', '暴力搜索': '4篇', 'BFS': '2篇', 'DFS': '9篇', 'UVA': '3篇', '区间DP': '3篇', 'NOIP': '1篇', '背包DP': '2篇', '二分': '4篇', '贪心': '4篇', '坐标DP': '3篇', '栈': '3篇', '数据结构': '2篇', '树状数组': '2篇', '九度': '1篇', '环境配置': '3篇', 'Ubuntu': '6篇', 'shell': '2篇', '文本处理': '1篇', 'Python': '4篇', 'jupyter': '1篇', '配置': '5篇', '机器学习': '1篇', 'xgboost': '1篇', '图数据库': '1篇', '数据库': '2篇', 'mysql': '1篇', 'Pycharm': '1篇'}]",['4万+'],['20'],['136'],['总结是在一餐代码过后必不可少的搭配~~'],['5'],['2'],['3万+'],['1831'],https://blog.csdn.net/u013033845/
1365,"[{'2014年7月': '4篇', '2013年4月': '13篇', '2011年8月': '1篇', '2011年7月': '1篇', '2011年6月': '1篇', '2008年12月': '1篇'}]","[{'人像 风景': '1篇', '移动开发  产品定位': '1篇', '移动开发  用户优先': '1篇', '机器学习': '4篇'}]",['1万+'],['0'],['15'],[''],['4'],['2'],['28万+'],['306'],https://blog.csdn.net/yong2007123/
1366,"[{'2018年6月': '1篇', '2018年5月': '1篇', '2016年9月': '1篇', '2015年12月': '1篇', '2015年10月': '1篇'}]","[{'机器学习': '1篇', '深度学习': '1篇', 'shell': '2篇'}]",['1142'],['0'],['4'],[''],['1'],['0'],['175万+'],['53'],https://blog.csdn.net/taotao693/
1367,"[{'2018年8月': '2篇', '2017年11月': '3篇', '2017年10月': '11篇'}]","[{'机器学习之数学原理': '5篇', '机器学习之Python实现': '1篇', 'hadoop权威指南第三版中文版': '1篇', 'javaweb': '2篇', '机器学习': '3篇', 'python': '5篇', 'lightgbm': '1篇'}]",['7611'],['1'],['15'],[''],['23'],['4'],['36万+'],['230'],https://blog.csdn.net/weixin_39807102/
1368,"[{'2018年1月': '1篇', '2017年11月': '1篇', '2017年10月': '3篇', '2017年8月': '3篇', '2017年7月': '2篇', '2017年6月': '1篇', '2017年3月': '2篇', '2017年2月': '7篇', '2017年1月': '7篇', '2016年2月': '2篇', '2016年1月': '1篇', '2015年12月': '2篇', '2015年10月': '2篇', '2015年8月': '1篇', '2015年7月': '1篇'}]","[{'MyLeetCode': '13篇', 'java': '12篇', '数学建模': '1篇', '常用的32个算法': '1篇', '安装': '2篇', '图论算法': '1篇', '机器学习算法': '2篇', 'linux': '1篇', '学习例子': '1篇'}]",['6万+'],['8'],['27'],[''],['4'],['4'],['6万+'],['887'],https://blog.csdn.net/n1007530194/
1369,"[{'2018年11月': '1篇', '2018年10月': '2篇'}]","[{'MachineLearning': '2篇', 'html': '1篇', 'css': '1篇', 'javascript': '1篇'}]",['53'],['0'],['3'],[''],['0'],['0'],['209万+'],['30'],https://blog.csdn.net/qq_40590753/
1370,"[{'2018年8月': '1篇', '2016年7月': '1篇', '2016年5月': '2篇', '2016年4月': '1篇', '2016年3月': '1篇', '2014年4月': '1篇', '2014年3月': '2篇', '2013年12月': '1篇', '2013年10月': '1篇', '2013年9月': '3篇', '2013年8月': '1篇', '2013年7月': '6篇'}]","[{'剑指offer': '4篇', '海量数据处理': '1篇', '数据结构': '1篇', '算法问题选编': '2篇', 'c/c++': '4篇', 'linux': '2篇', '机器学x': '1篇', 'java': '6篇'}]",['1万+'],['0'],['6'],['分享算法，分享乐趣'],['1'],['1'],['37万+'],['219'],https://blog.csdn.net/xtu123/
1371,"[{'2018年11月': '3篇', '2018年10月': '2篇', '2018年9月': '4篇', '2018年8月': '2篇', '2018年7月': '2篇', '2018年6月': '3篇', '2018年5月': '3篇', '2018年4月': '4篇', '2018年3月': '2篇', '2018年2月': '6篇', '2017年12月': '3篇', '2017年11月': '3篇'}]","[{'测试': '21篇', '爬虫-python': '1篇', '问题解决': '5篇', '深度学习和TensorFlow': '3篇', 'AI测试': '6篇'}]",['3万+'],['39'],['36'],['目前主要负责推荐系统、机器学习和图像识别项目的测试工作。不断学习中'],['34'],['8'],['9万+'],['658'],https://blog.csdn.net/lhh08hasee/
1372,"[{'2018年11月': '1篇', '2018年10月': '8篇', '2018年9月': '1篇', '2018年8月': '1篇', '2018年7月': '6篇', '2018年6月': '8篇', '2018年5月': '6篇', '2018年4月': '17篇', '2018年1月': '1篇', '2017年12月': '1篇'}]","[{'python': '8篇', '环境': '6篇', 'linux': '7篇', 'AI': '13篇', 'deep learning': '13篇', 'numpy': '2篇', 'tensorflow': '2篇', 'C++': '1篇', 'pytorch': '5篇', 'GANs': '3篇', 'machine learning': '1篇', '文件读写': '2篇', 'Object Detection': '6篇', '杂谈': '1篇', 'MXNET': '3篇', 'GlounCV': '2篇'}]",['2万+'],['10'],['30'],[''],['12'],['9'],['10万+'],['591'],https://blog.csdn.net/weixin_41278720/
